>> [build] akhatua/cooperbench-huggingface-datasets:task6252
#6 98.74 Preparing to unpack .../018-libgdbm-compat4t64_1.24-2_amd64.deb ...
#6 98.78 Unpacking libgdbm-compat4t64:amd64 (1.24-2) ...
#6 99.02 Selecting previously unselected package libperl5.40:amd64.
#6 99.02 Preparing to unpack .../019-libperl5.40_5.40.1-6_amd64.deb ...
#6 99.06 Unpacking libperl5.40:amd64 (5.40.1-6) ...
#6 99.40 Selecting previously unselected package perl.
#6 99.40 Preparing to unpack .../020-perl_5.40.1-6_amd64.deb ...
#6 99.43 Unpacking perl (5.40.1-6) ...
#6 99.64 Selecting previously unselected package libunistring5:amd64.
#6 99.65 Preparing to unpack .../021-libunistring5_1.3-2_amd64.deb ...
#6 99.66 Unpacking libunistring5:amd64 (1.3-2) ...
#6 99.87 Selecting previously unselected package libidn2-0:amd64.
#6 99.87 Preparing to unpack .../022-libidn2-0_2.3.8-2_amd64.deb ...
#6 99.90 Unpacking libidn2-0:amd64 (2.3.8-2) ...
#6 100.0 Selecting previously unselected package libp11-kit0:amd64.
#6 100.0 Preparing to unpack .../023-libp11-kit0_0.25.5-3_amd64.deb ...
#6 100.1 Unpacking libp11-kit0:amd64 (0.25.5-3) ...
#6 100.3 Selecting previously unselected package libtasn1-6:amd64.
#6 100.3 Preparing to unpack .../024-libtasn1-6_4.20.0-2_amd64.deb ...
#6 100.3 Unpacking libtasn1-6:amd64 (4.20.0-2) ...
#6 100.5 Selecting previously unselected package libgnutls30t64:amd64.
#6 100.5 Preparing to unpack .../025-libgnutls30t64_3.8.9-3+deb13u4_amd64.deb ...
#6 100.5 Unpacking libgnutls30t64:amd64 (3.8.9-3+deb13u4) ...
#6 100.7 Selecting previously unselected package libpsl5t64:amd64.
#6 100.7 Preparing to unpack .../026-libpsl5t64_0.21.2-1.1+b1_amd64.deb ...
#6 100.8 Unpacking libpsl5t64:amd64 (0.21.2-1.1+b1) ...
#6 100.9 Selecting previously unselected package wget.
#6 100.9 Preparing to unpack .../027-wget_1.25.0-2_amd64.deb ...
#6 100.9 Unpacking wget (1.25.0-2) ...
#6 101.1 Selecting previously unselected package xz-utils.
#6 101.1 Preparing to unpack .../028-xz-utils_5.8.1-1_amd64.deb ...
#6 101.1 Unpacking xz-utils (5.8.1-1) ...
#6 101.3 Selecting previously unselected package libsframe1:amd64.
#6 101.3 Preparing to unpack .../029-libsframe1_2.44-3_amd64.deb ...
#6 101.3 Unpacking libsframe1:amd64 (2.44-3) ...
#6 101.4 Selecting previously unselected package binutils-common:amd64.
#6 101.4 Preparing to unpack .../030-binutils-common_2.44-3_amd64.deb ...
#6 101.4 Unpacking binutils-common:amd64 (2.44-3) ...
#6 101.7 Selecting previously unselected package libbinutils:amd64.
#6 101.7 Preparing to unpack .../031-libbinutils_2.44-3_amd64.deb ...
#6 101.7 Unpacking libbinutils:amd64 (2.44-3) ...
#6 101.9 Selecting previously unselected package libgprofng0:amd64.
#6 101.9 Preparing to unpack .../032-libgprofng0_2.44-3_amd64.deb ...
#6 102.0 Unpacking libgprofng0:amd64 (2.44-3) ...
#6 102.2 Selecting previously unselected package libctf-nobfd0:amd64.
#6 102.2 Preparing to unpack .../033-libctf-nobfd0_2.44-3_amd64.deb ...
#6 102.2 Unpacking libctf-nobfd0:amd64 (2.44-3) ...
#6 102.4 Selecting previously unselected package libctf0:amd64.
#6 102.4 Preparing to unpack .../034-libctf0_2.44-3_amd64.deb ...
#6 102.4 Unpacking libctf0:amd64 (2.44-3) ...
#6 102.6 Selecting previously unselected package libjansson4:amd64.
#6 102.6 Preparing to unpack .../035-libjansson4_2.14-2+b3_amd64.deb ...
#6 102.6 Unpacking libjansson4:amd64 (2.14-2+b3) ...
#6 102.7 Selecting previously unselected package binutils-x86-64-linux-gnu.
#6 102.7 Preparing to unpack .../036-binutils-x86-64-linux-gnu_2.44-3_amd64.deb ...
#6 102.7 Unpacking binutils-x86-64-linux-gnu (2.44-3) ...
#6 102.9 Selecting previously unselected package binutils.
#6 102.9 Preparing to unpack .../037-binutils_2.44-3_amd64.deb ...
#6 102.9 Unpacking binutils (2.44-3) ...
#6 103.6 Selecting previously unselected package libc-dev-bin.
#6 103.6 Preparing to unpack .../038-libc-dev-bin_2.41-12+deb13u3_amd64.deb ...
#6 103.6 Unpacking libc-dev-bin (2.41-12+deb13u3) ...
#6 103.8 Selecting previously unselected package linux-libc-dev.
#6 103.8 Preparing to unpack .../039-linux-libc-dev_6.12.94-1_all.deb ...
#6 103.8 Unpacking linux-libc-dev (6.12.94-1) ...
#6 104.2 Selecting previously unselected package libcrypt-dev:amd64.
#6 104.2 Preparing to unpack .../040-libcrypt-dev_1%3a4.4.38-1_amd64.deb ...
#6 104.3 Unpacking libcrypt-dev:amd64 (1:4.4.38-1) ...
#6 104.4 Selecting previously unselected package rpcsvc-proto.
#6 104.4 Preparing to unpack .../041-rpcsvc-proto_1.4.3-1_amd64.deb ...
#6 104.4 Unpacking rpcsvc-proto (1.4.3-1) ...
#6 104.6 Selecting previously unselected package libc6-dev:amd64.
#6 104.6 Preparing to unpack .../042-libc6-dev_2.41-12+deb13u3_amd64.deb ...
#6 104.6 Unpacking libc6-dev:amd64 (2.41-12+deb13u3) ...
#6 104.9 Selecting previously unselected package libisl23:amd64.
#6 104.9 Preparing to unpack .../043-libisl23_0.27-1_amd64.deb ...
#6 104.9 Unpacking libisl23:amd64 (0.27-1) ...
#6 105.1 Selecting previously unselected package libmpfr6:amd64.
#6 105.1 Preparing to unpack .../044-libmpfr6_4.2.2-1_amd64.deb ...
#6 105.2 Unpacking libmpfr6:amd64 (4.2.2-1) ...
#6 105.4 Selecting previously unselected package libmpc3:amd64.
#6 105.4 Preparing to unpack .../045-libmpc3_1.3.1-1+b3_amd64.deb ...
#6 105.4 Unpacking libmpc3:amd64 (1.3.1-1+b3) ...
#6 105.5 Selecting previously unselected package cpp-14-x86-64-linux-gnu.
#6 105.5 Preparing to unpack .../046-cpp-14-x86-64-linux-gnu_14.2.0-19_amd64.deb ...
#6 105.6 Unpacking cpp-14-x86-64-linux-gnu (14.2.0-19) ...
#6 106.0 Selecting previously unselected package cpp-14.
#6 106.0 Preparing to unpack .../047-cpp-14_14.2.0-19_amd64.deb ...
#6 106.0 Unpacking cpp-14 (14.2.0-19) ...
#6 106.2 Selecting previously unselected package cpp-x86-64-linux-gnu.
#6 106.2 Preparing to unpack .../048-cpp-x86-64-linux-gnu_4%3a14.2.0-1_amd64.deb ...
#6 106.2 Unpacking cpp-x86-64-linux-gnu (4:14.2.0-1) ...
#6 106.4 Selecting previously unselected package cpp.
#6 106.4 Preparing to unpack .../049-cpp_4%3a14.2.0-1_amd64.deb ...
#6 106.4 Unpacking cpp (4:14.2.0-1) ...
#6 106.6 Selecting previously unselected package libcc1-0:amd64.
#6 106.6 Preparing to unpack .../050-libcc1-0_14.2.0-19_amd64.deb ...
#6 106.7 Unpacking libcc1-0:amd64 (14.2.0-19) ...
#6 106.9 Selecting previously unselected package libgomp1:amd64.
#6 106.9 Preparing to unpack .../051-libgomp1_14.2.0-19_amd64.deb ...
#6 106.9 Unpacking libgomp1:amd64 (14.2.0-19) ...
#6 107.1 Selecting previously unselected package libitm1:amd64.
#6 107.1 Preparing to unpack .../052-libitm1_14.2.0-19_amd64.deb ...
#6 107.1 Unpacking libitm1:amd64 (14.2.0-19) ...
#6 107.3 Selecting previously unselected package libatomic1:amd64.
#6 107.3 Preparing to unpack .../053-libatomic1_14.2.0-19_amd64.deb ...
#6 107.3 Unpacking libatomic1:amd64 (14.2.0-19) ...
#6 107.5 Selecting previously unselected package libasan8:amd64.
#6 107.5 Preparing to unpack .../054-libasan8_14.2.0-19_amd64.deb ...
#6 107.5 Unpacking libasan8:amd64 (14.2.0-19) ...
#6 107.8 Selecting previously unselected package liblsan0:amd64.
#6 107.8 Preparing to unpack .../055-liblsan0_14.2.0-19_amd64.deb ...
#6 107.8 Unpacking liblsan0:amd64 (14.2.0-19) ...
#6 108.1 Selecting previously unselected package libtsan2:amd64.
#6 108.1 Preparing to unpack .../056-libtsan2_14.2.0-19_amd64.deb ...
#6 108.1 Unpacking libtsan2:amd64 (14.2.0-19) ...
#6 108.4 Selecting previously unselected package libubsan1:amd64.
#6 108.4 Preparing to unpack .../057-libubsan1_14.2.0-19_amd64.deb ...
#6 108.4 Unpacking libubsan1:amd64 (14.2.0-19) ...
#6 108.7 Selecting previously unselected package libhwasan0:amd64.
#6 108.7 Preparing to unpack .../058-libhwasan0_14.2.0-19_amd64.deb ...
#6 108.7 Unpacking libhwasan0:amd64 (14.2.0-19) ...
#6 108.9 Selecting previously unselected package libquadmath0:amd64.
#6 108.9 Preparing to unpack .../059-libquadmath0_14.2.0-19_amd64.deb ...
#6 108.9 Unpacking libquadmath0:amd64 (14.2.0-19) ...
#6 109.1 Selecting previously unselected package libgcc-14-dev:amd64.
#6 109.1 Preparing to unpack .../060-libgcc-14-dev_14.2.0-19_amd64.deb ...
#6 109.1 Unpacking libgcc-14-dev:amd64 (14.2.0-19) ...
#6 109.3 Selecting previously unselected package gcc-14-x86-64-linux-gnu.
#6 109.3 Preparing to unpack .../061-gcc-14-x86-64-linux-gnu_14.2.0-19_amd64.deb ...
#6 109.4 Unpacking gcc-14-x86-64-linux-gnu (14.2.0-19) ...
#6 109.8 Selecting previously unselected package gcc-14.
#6 109.8 Preparing to unpack .../062-gcc-14_14.2.0-19_amd64.deb ...
#6 109.8 Unpacking gcc-14 (14.2.0-19) ...
#6 109.9 Selecting previously unselected package gcc-x86-64-linux-gnu.
#6 109.9 Preparing to unpack .../063-gcc-x86-64-linux-gnu_4%3a14.2.0-1_amd64.deb ...
#6 109.9 Unpacking gcc-x86-64-linux-gnu (4:14.2.0-1) ...
#6 110.1 Selecting previously unselected package gcc.
#6 110.1 Preparing to unpack .../064-gcc_4%3a14.2.0-1_amd64.deb ...
#6 110.1 Unpacking gcc (4:14.2.0-1) ...
#6 110.3 Selecting previously unselected package libstdc++-14-dev:amd64.
#6 110.3 Preparing to unpack .../065-libstdc++-14-dev_14.2.0-19_amd64.deb ...
#6 110.3 Unpacking libstdc++-14-dev:amd64 (14.2.0-19) ...
#6 110.6 Selecting previously unselected package g++-14-x86-64-linux-gnu.
#6 110.6 Preparing to unpack .../066-g++-14-x86-64-linux-gnu_14.2.0-19_amd64.deb ...
#6 110.6 Unpacking g++-14-x86-64-linux-gnu (14.2.0-19) ...
#6 111.0 Selecting previously unselected package g++-14.
#6 111.0 Preparing to unpack .../067-g++-14_14.2.0-19_amd64.deb ...
#6 111.0 Unpacking g++-14 (14.2.0-19) ...
#6 111.2 Selecting previously unselected package g++-x86-64-linux-gnu.
#6 111.2 Preparing to unpack .../068-g++-x86-64-linux-gnu_4%3a14.2.0-1_amd64.deb ...
#6 111.2 Unpacking g++-x86-64-linux-gnu (4:14.2.0-1) ...
#6 111.4 Selecting previously unselected package g++.
#6 111.4 Preparing to unpack .../069-g++_4%3a14.2.0-1_amd64.deb ...
#6 111.4 Unpacking g++ (4:14.2.0-1) ...
#6 111.5 Selecting previously unselected package make.
#6 111.6 Preparing to unpack .../070-make_4.4.1-2_amd64.deb ...
#6 111.6 Unpacking make (4.4.1-2) ...
#6 111.7 Selecting previously unselected package libdpkg-perl.
#6 111.7 Preparing to unpack .../071-libdpkg-perl_1.22.22_all.deb ...
#6 111.8 Unpacking libdpkg-perl (1.22.22) ...
#6 111.9 Selecting previously unselected package patch.
#6 111.9 Preparing to unpack .../072-patch_2.8-2_amd64.deb ...
#6 111.9 Unpacking patch (2.8-2) ...
#6 112.1 Selecting previously unselected package dpkg-dev.
#6 112.1 Preparing to unpack .../073-dpkg-dev_1.22.22_all.deb ...
#6 112.1 Unpacking dpkg-dev (1.22.22) ...
#6 112.3 Selecting previously unselected package build-essential.
#6 112.3 Preparing to unpack .../074-build-essential_12.12_amd64.deb ...
#6 112.3 Unpacking build-essential (12.12) ...
#6 112.5 Selecting previously unselected package libbrotli1:amd64.
#6 112.5 Preparing to unpack .../075-libbrotli1_1.1.0-2+b7_amd64.deb ...
#6 112.5 Unpacking libbrotli1:amd64 (1.1.0-2+b7) ...
#6 112.6 Selecting previously unselected package libsasl2-modules-db:amd64.
#6 112.6 Preparing to unpack .../076-libsasl2-modules-db_2.1.28+dfsg1-9_amd64.deb ...
#6 112.7 Unpacking libsasl2-modules-db:amd64 (2.1.28+dfsg1-9) ...
#6 112.8 Selecting previously unselected package libsasl2-2:amd64.
#6 112.8 Preparing to unpack .../077-libsasl2-2_2.1.28+dfsg1-9_amd64.deb ...
#6 112.8 Unpacking libsasl2-2:amd64 (2.1.28+dfsg1-9) ...
#6 112.9 Selecting previously unselected package libldap2:amd64.
#6 112.9 Preparing to unpack .../078-libldap2_2.6.10+dfsg-1_amd64.deb ...
#6 112.9 Unpacking libldap2:amd64 (2.6.10+dfsg-1) ...
#6 113.1 Selecting previously unselected package libnghttp2-14:amd64.
#6 113.1 Preparing to unpack .../079-libnghttp2-14_1.64.0-1.1+deb13u1_amd64.deb ...
#6 113.2 Unpacking libnghttp2-14:amd64 (1.64.0-1.1+deb13u1) ...
#6 113.4 Selecting previously unselected package libnghttp3-9:amd64.
#6 113.4 Preparing to unpack .../080-libnghttp3-9_1.8.0-1_amd64.deb ...
#6 113.4 Unpacking libnghttp3-9:amd64 (1.8.0-1) ...
#6 113.7 Selecting previously unselected package librtmp1:amd64.
#6 113.7 Preparing to unpack .../081-librtmp1_2.4+20151223.gitfa8646d.1-2+b5_amd64.deb ...
#6 113.7 Unpacking librtmp1:amd64 (2.4+20151223.gitfa8646d.1-2+b5) ...
#6 113.9 Selecting previously unselected package libssh2-1t64:amd64.
#6 113.9 Preparing to unpack .../082-libssh2-1t64_1.11.1-1+deb13u1_amd64.deb ...
#6 113.9 Unpacking libssh2-1t64:amd64 (1.11.1-1+deb13u1) ...
#6 114.1 Selecting previously unselected package libcurl4t64:amd64.
#6 114.1 Preparing to unpack .../083-libcurl4t64_8.14.1-2+deb13u3_amd64.deb ...
#6 114.2 Unpacking libcurl4t64:amd64 (8.14.1-2+deb13u3) ...
#6 114.4 Selecting previously unselected package curl.
#6 114.4 Preparing to unpack .../084-curl_8.14.1-2+deb13u3_amd64.deb ...
#6 114.4 Unpacking curl (8.14.1-2+deb13u3) ...
#6 114.6 Selecting previously unselected package libfakeroot:amd64.
#6 114.6 Preparing to unpack .../085-libfakeroot_1.37.1.1-1_amd64.deb ...
#6 114.6 Unpacking libfakeroot:amd64 (1.37.1.1-1) ...
#6 114.8 Selecting previously unselected package fakeroot.
#6 114.8 Preparing to unpack .../086-fakeroot_1.37.1.1-1_amd64.deb ...
#6 114.8 Unpacking fakeroot (1.37.1.1-1) ...
#6 115.0 Selecting previously unselected package libngtcp2-16:amd64.
#6 115.0 Preparing to unpack .../087-libngtcp2-16_1.11.0-1+deb13u1_amd64.deb ...
#6 115.0 Unpacking libngtcp2-16:amd64 (1.11.0-1+deb13u1) ...
#6 115.2 Selecting previously unselected package libngtcp2-crypto-gnutls8:amd64.
#6 115.2 Preparing to unpack .../088-libngtcp2-crypto-gnutls8_1.11.0-1+deb13u1_amd64.deb ...
#6 115.2 Unpacking libngtcp2-crypto-gnutls8:amd64 (1.11.0-1+deb13u1) ...
#6 115.4 Selecting previously unselected package libcurl3t64-gnutls:amd64.
#6 115.4 Preparing to unpack .../089-libcurl3t64-gnutls_8.14.1-2+deb13u3_amd64.deb ...
#6 115.4 Unpacking libcurl3t64-gnutls:amd64 (8.14.1-2+deb13u3) ...
#6 115.6 Selecting previously unselected package liberror-perl.
#6 115.6 Preparing to unpack .../090-liberror-perl_0.17030-1_all.deb ...
#6 115.6 Unpacking liberror-perl (0.17030-1) ...
#6 115.8 Selecting previously unselected package git-man.
#6 115.8 Preparing to unpack .../091-git-man_1%3a2.47.3-0+deb13u1_all.deb ...
#6 115.8 Unpacking git-man (1:2.47.3-0+deb13u1) ...
#6 116.1 Selecting previously unselected package git.
#6 116.1 Preparing to unpack .../092-git_1%3a2.47.3-0+deb13u1_amd64.deb ...
#6 116.1 Unpacking git (1:2.47.3-0+deb13u1) ...
#6 116.4 Selecting previously unselected package libalgorithm-diff-perl.
#6 116.4 Preparing to unpack .../093-libalgorithm-diff-perl_1.201-1_all.deb ...
#6 116.5 Unpacking libalgorithm-diff-perl (1.201-1) ...
#6 116.6 Selecting previously unselected package libalgorithm-diff-xs-perl.
#6 116.6 Preparing to unpack .../094-libalgorithm-diff-xs-perl_0.04-9_amd64.deb ...
#6 116.6 Unpacking libalgorithm-diff-xs-perl (0.04-9) ...
#6 116.8 Selecting previously unselected package libalgorithm-merge-perl.
#6 116.8 Preparing to unpack .../095-libalgorithm-merge-perl_0.08-5_all.deb ...
#6 116.8 Unpacking libalgorithm-merge-perl (0.08-5) ...
#6 117.0 Selecting previously unselected package libfile-fcntllock-perl.
#6 117.0 Preparing to unpack .../096-libfile-fcntllock-perl_0.22-4+b4_amd64.deb ...
#6 117.0 Unpacking libfile-fcntllock-perl (0.22-4+b4) ...
#6 117.2 Selecting previously unselected package libldap-common.
#6 117.2 Preparing to unpack .../097-libldap-common_2.6.10+dfsg-1_all.deb ...
#6 117.2 Unpacking libldap-common (2.6.10+dfsg-1) ...
#6 117.4 Selecting previously unselected package libsasl2-modules:amd64.
#6 117.4 Preparing to unpack .../098-libsasl2-modules_2.1.28+dfsg1-9_amd64.deb ...
#6 117.4 Unpacking libsasl2-modules:amd64 (2.1.28+dfsg1-9) ...
#6 117.6 Selecting previously unselected package libxau6:amd64.
#6 117.6 Preparing to unpack .../099-libxau6_1%3a1.0.11-1_amd64.deb ...
#6 117.7 Unpacking libxau6:amd64 (1:1.0.11-1) ...
#6 117.8 Selecting previously unselected package libxdmcp6:amd64.
#6 117.8 Preparing to unpack .../100-libxdmcp6_1%3a1.1.5-1_amd64.deb ...
#6 117.9 Unpacking libxdmcp6:amd64 (1:1.1.5-1) ...
#6 118.1 Selecting previously unselected package libxcb1:amd64.
#6 118.1 Preparing to unpack .../101-libxcb1_1.17.0-2+b1_amd64.deb ...
#6 118.1 Unpacking libxcb1:amd64 (1.17.0-2+b1) ...
#6 118.3 Selecting previously unselected package libx11-data.
#6 118.3 Preparing to unpack .../102-libx11-data_2%3a1.8.12-1_all.deb ...
#6 118.3 Unpacking libx11-data (2:1.8.12-1) ...
#6 118.6 Selecting previously unselected package libx11-6:amd64.
#6 118.6 Preparing to unpack .../103-libx11-6_2%3a1.8.12-1_amd64.deb ...
#6 118.6 Unpacking libx11-6:amd64 (2:1.8.12-1) ...
#6 119.1 Selecting previously unselected package libxext6:amd64.
#6 119.1 Preparing to unpack .../104-libxext6_2%3a1.3.4-1+b3_amd64.deb ...
#6 119.2 Unpacking libxext6:amd64 (2:1.3.4-1+b3) ...
#6 119.9 Selecting previously unselected package libxmuu1:amd64.
#6 119.9 Preparing to unpack .../105-libxmuu1_2%3a1.1.3-3+b4_amd64.deb ...
#6 120.0 Unpacking libxmuu1:amd64 (2:1.1.3-3+b4) ...
#6 120.3 Selecting previously unselected package manpages-dev.
#6 120.3 Preparing to unpack .../106-manpages-dev_6.9.1-1_all.deb ...
#6 120.3 Unpacking manpages-dev (6.9.1-1) ...
#6 120.5 Selecting previously unselected package publicsuffix.
#6 120.5 Preparing to unpack .../107-publicsuffix_20250328.1952-0.1_all.deb ...
#6 120.6 Unpacking publicsuffix (20250328.1952-0.1) ...
#6 120.7 Selecting previously unselected package sq.
#6 120.7 Preparing to unpack .../108-sq_1.3.1-2+b2_amd64.deb ...
#6 120.8 Unpacking sq (1.3.1-2+b2) ...
#6 121.1 Selecting previously unselected package xauth.
#6 121.1 Preparing to unpack .../109-xauth_1%3a1.1.2-1.1_amd64.deb ...
#6 121.1 Unpacking xauth (1:1.1.2-1.1) ...
#6 121.3 Setting up libexpat1:amd64 (2.7.1-2) ...
#6 121.4 Setting up libxau6:amd64 (1:1.0.11-1) ...
#6 121.5 Setting up libxdmcp6:amd64 (1:1.1.5-1) ...
#6 121.6 Setting up libkeyutils1:amd64 (1.6.3-6) ...
#6 121.7 Setting up libxcb1:amd64 (1.17.0-2+b1) ...
#6 121.8 Setting up libgdbm-compat4t64:amd64 (1.24-2) ...
#6 121.9 Setting up libcbor0.10:amd64 (0.10.2-2) ...
#6 122.0 Setting up manpages (6.9.1-1) ...
#6 122.1 Setting up libbrotli1:amd64 (1.1.0-2+b7) ...
#6 122.2 Setting up libedit2:amd64 (3.1-20250104-1) ...
#6 122.2 Setting up libsasl2-modules:amd64 (2.1.28+dfsg1-9) ...
#6 122.3 Setting up binutils-common:amd64 (2.44-3) ...
#6 122.4 Setting up libnghttp2-14:amd64 (1.64.0-1.1+deb13u1) ...
#6 122.5 Setting up less (668-1) ...
#6 122.6 Setting up linux-libc-dev (6.12.94-1) ...
#6 122.7 Setting up libctf-nobfd0:amd64 (2.44-3) ...
#6 122.8 Setting up krb5-locales (1.21.3-5+deb13u1) ...
#6 122.9 Setting up libcom-err2:amd64 (1.47.2-3+b11) ...
#6 123.0 Setting up sq (1.3.1-2+b2) ...
#6 123.1 Setting up libgomp1:amd64 (14.2.0-19) ...
#6 123.2 Setting up bzip2 (1.0.8-6) ...
#6 123.3 Setting up libldap-common (2.6.10+dfsg-1) ...
#6 123.4 Setting up libsframe1:amd64 (2.44-3) ...
#6 123.5 Setting up libfakeroot:amd64 (1.37.1.1-1) ...
#6 123.7 Setting up libjansson4:amd64 (2.14-2+b3) ...
#6 123.7 Setting up libkrb5support0:amd64 (1.21.3-5+deb13u1) ...
#6 123.9 Setting up libsasl2-modules-db:amd64 (2.1.28+dfsg1-9) ...
#6 123.9 Setting up fakeroot (1.37.1.1-1) ...
#6 124.0 update-alternatives: using /usr/bin/fakeroot-sysv to provide /usr/bin/fakeroot (fakeroot) in auto mode
#6 124.0 update-alternatives: warning: skip creation of /usr/share/man/man1/fakeroot.1.gz because associated file /usr/share/man/man1/fakeroot-sysv.1.gz (of link group fakeroot) doesn't exist
#6 124.0 update-alternatives: warning: skip creation of /usr/share/man/man1/faked.1.gz because associated file /usr/share/man/man1/faked-sysv.1.gz (of link group fakeroot) doesn't exist
#6 124.0 update-alternatives: warning: skip creation of /usr/share/man/es/man1/fakeroot.1.gz because associated file /usr/share/man/es/man1/fakeroot-sysv.1.gz (of link group fakeroot) doesn't exist
#6 124.0 update-alternatives: warning: skip creation of /usr/share/man/es/man1/faked.1.gz because associated file /usr/share/man/es/man1/faked-sysv.1.gz (of link group fakeroot) doesn't exist
#6 124.0 update-alternatives: warning: skip creation of /usr/share/man/fr/man1/fakeroot.1.gz because associated file /usr/share/man/fr/man1/fakeroot-sysv.1.gz (of link group fakeroot) doesn't exist
#6 124.0 update-alternatives: warning: skip creation of /usr/share/man/fr/man1/faked.1.gz because associated file /usr/share/man/fr/man1/faked-sysv.1.gz (of link group fakeroot) doesn't exist
#6 124.0 update-alternatives: warning: skip creation of /usr/share/man/sv/man1/fakeroot.1.gz because associated file /usr/share/man/sv/man1/fakeroot-sysv.1.gz (of link group fakeroot) doesn't exist
#6 124.0 update-alternatives: warning: skip creation of /usr/share/man/sv/man1/faked.1.gz because associated file /usr/share/man/sv/man1/faked-sysv.1.gz (of link group fakeroot) doesn't exist
#6 124.1 Setting up rpcsvc-proto (1.4.3-1) ...
#6 124.2 Setting up libx11-data (2:1.8.12-1) ...
#6 124.5 Setting up make (4.4.1-2) ...
#6 124.6 Setting up libmpfr6:amd64 (4.2.2-1) ...
#6 124.7 Setting up bash-completion (1:2.16.0-7) ...
#6 124.9 Setting up xz-utils (5.8.1-1) ...
#6 125.6 update-alternatives: using /usr/bin/xz to provide /usr/bin/lzma (lzma) in auto mode
#6 125.6 update-alternatives: warning: skip creation of /usr/share/man/man1/lzma.1.gz because associated file /usr/share/man/man1/xz.1.gz (of link group lzma) doesn't exist
#6 125.6 update-alternatives: warning: skip creation of /usr/share/man/man1/unlzma.1.gz because associated file /usr/share/man/man1/unxz.1.gz (of link group lzma) doesn't exist
#6 125.6 update-alternatives: warning: skip creation of /usr/share/man/man1/lzcat.1.gz because associated file /usr/share/man/man1/xzcat.1.gz (of link group lzma) doesn't exist
#6 125.6 update-alternatives: warning: skip creation of /usr/share/man/man1/lzmore.1.gz because associated file /usr/share/man/man1/xzmore.1.gz (of link group lzma) doesn't exist
#6 125.6 update-alternatives: warning: skip creation of /usr/share/man/man1/lzless.1.gz because associated file /usr/share/man/man1/xzless.1.gz (of link group lzma) doesn't exist
#6 125.6 update-alternatives: warning: skip creation of /usr/share/man/man1/lzdiff.1.gz because associated file /usr/share/man/man1/xzdiff.1.gz (of link group lzma) doesn't exist
#6 125.6 update-alternatives: warning: skip creation of /usr/share/man/man1/lzcmp.1.gz because associated file /usr/share/man/man1/xzcmp.1.gz (of link group lzma) doesn't exist
#6 125.6 update-alternatives: warning: skip creation of /usr/share/man/man1/lzgrep.1.gz because associated file /usr/share/man/man1/xzgrep.1.gz (of link group lzma) doesn't exist
#6 125.6 update-alternatives: warning: skip creation of /usr/share/man/man1/lzegrep.1.gz because associated file /usr/share/man/man1/xzegrep.1.gz (of link group lzma) doesn't exist
#6 125.6 update-alternatives: warning: skip creation of /usr/share/man/man1/lzfgrep.1.gz because associated file /usr/share/man/man1/xzfgrep.1.gz (of link group lzma) doesn't exist
#6 126.0 Setting up libquadmath0:amd64 (14.2.0-19) ...
#6 126.6 Setting up libp11-kit0:amd64 (0.25.5-3) ...
#6 127.6 Setting up libunistring5:amd64 (1.3-2) ...
#6 128.2 Setting up libmpc3:amd64 (1.3.1-1+b3) ...
#6 128.6 Setting up libatomic1:amd64 (14.2.0-19) ...
#6 128.7 Setting up patch (2.8-2) ...
#6 128.8 Setting up libk5crypto3:amd64 (1.21.3-5+deb13u1) ...
#6 128.9 Setting up libsasl2-2:amd64 (2.1.28+dfsg1-9) ...
#6 128.9 Setting up libnghttp3-9:amd64 (1.8.0-1) ...
#6 129.0 Setting up libubsan1:amd64 (14.2.0-19) ...
#6 129.1 Setting up perl-modules-5.40 (5.40.1-6) ...
#6 129.2 Setting up libhwasan0:amd64 (14.2.0-19) ...
#6 129.3 Setting up libcrypt-dev:amd64 (1:4.4.38-1) ...
#6 129.3 Setting up libasan8:amd64 (14.2.0-19) ...
#6 129.4 Setting up libtasn1-6:amd64 (4.20.0-2) ...
#6 129.4 Setting up git-man (1:2.47.3-0+deb13u1) ...
#6 129.5 Setting up libx11-6:amd64 (2:1.8.12-1) ...
#6 129.5 Setting up libngtcp2-16:amd64 (1.11.0-1+deb13u1) ...
#6 129.6 Setting up libkrb5-3:amd64 (1.21.3-5+deb13u1) ...
#6 129.6 Setting up libssh2-1t64:amd64 (1.11.1-1+deb13u1) ...
#6 129.6 Setting up libtsan2:amd64 (14.2.0-19) ...
#6 129.7 Setting up libbinutils:amd64 (2.44-3) ...
#6 129.8 Setting up libfido2-1:amd64 (1.15.0-1+b1) ...
#6 129.8 Setting up libisl23:amd64 (0.27-1) ...
#6 129.9 Setting up libc-dev-bin (2.41-12+deb13u3) ...
#6 129.9 Setting up publicsuffix (20250328.1952-0.1) ...
#6 130.0 Setting up libcc1-0:amd64 (14.2.0-19) ...
#6 130.0 Setting up libldap2:amd64 (2.6.10+dfsg-1) ...
#6 130.0 Setting up libxmuu1:amd64 (2:1.1.3-3+b4) ...
#6 130.1 Setting up liblocale-gettext-perl (1.07-7+b1) ...
#6 130.1 Setting up liblsan0:amd64 (14.2.0-19) ...
#6 130.2 Setting up libitm1:amd64 (14.2.0-19) ...
#6 130.2 Setting up libctf0:amd64 (2.44-3) ...
#6 130.3 Setting up manpages-dev (6.9.1-1) ...
#6 130.3 Setting up libxext6:amd64 (2:1.3.4-1+b3) ...
